theme,code,category,value,areaName
mainLanguage,E12000004,7,4,East Midlands
mainLanguage,E12000004,8,66,East Midlands
mainLanguage,E12000004,9,5,East Midlands
mainLanguage,E12000004,10,164,East Midlands
mainLanguage,E12000004,11,4,East Midlands
mainLanguage,E12000004,12,4024,East Midlands
mainLanguage,E12000004,13,10502,East Midlands
mainLanguage,E12000004,14,5898,East Midlands
mainLanguage,E12000004,15,6439,East Midlands
mainLanguage,E12000004,16,1963,East Midlands
mainLanguage,E12000004,17,70969,East Midlands
mainLanguage,E12000004,18,6068,East Midlands
mainLanguage,E12000004,19,2067,East Midlands
mainLanguage,E12000004,20,45382,East Midlands
mainLanguage,E12000004,21,15320,East Midlands
mainLanguage,E12000004,22,8107,East Midlands
mainLanguage,E12000004,23,6070,East Midlands
mainLanguage,E12000004,24,6571,East Midlands
mainLanguage,E12000004,25,3723,East Midlands
mainLanguage,E12000004,26,953,East Midlands
mainLanguage,E12000004,27,391,East Midlands
mainLanguage,E12000004,28,231,East Midlands
mainLanguage,E12000004,29,162,East Midlands
mainLanguage,E12000004,30,165,East Midlands
mainLanguage,E12000004,31,139,East Midlands
mainLanguage,E12000004,32,83,East Midlands
mainLanguage,E12000004,33,224,East Midlands
mainLanguage,E12000004,34,2382,East Midlands
mainLanguage,E12000004,35,458,East Midlands
mainLanguage,E12000004,36,15,East Midlands
mainLanguage,E12000004,37,241,East Midlands
mainLanguage,E12000004,38,1426,East Midlands
mainLanguage,E12000004,39,21,East Midlands
mainLanguage,E12000004,40,1,East Midlands
mainLanguage,E12000004,41,9336,East Midlands
mainLanguage,E12000004,42,4077,East Midlands
mainLanguage,E12000004,43,9791,East Midlands
mainLanguage,E12000004,44,73,East Midlands
mainLanguage,E12000004,45,5225,East Midlands
mainLanguage,E12000004,46,3563,East Midlands
mainLanguage,E12000004,47,1762,East Midlands
mainLanguage,E12000004,48,256,East Midlands
mainLanguage,E12000004,49,14566,East Midlands
mainLanguage,E12000004,50,4242,East Midlands
mainLanguage,E12000004,51,24680,East Midlands
mainLanguage,E12000004,52,1493,East Midlands
mainLanguage,E12000004,53,7126,East Midlands
mainLanguage,E12000004,54,53596,East Midlands
mainLanguage,E12000004,55,774,East Midlands
mainLanguage,E12000004,56,1326,East Midlands
mainLanguage,E12000004,57,5101,East Midlands
mainLanguage,E12000004,58,5927,East Midlands
mainLanguage,E12000004,59,924,East Midlands
mainLanguage,E12000004,60,1772,East Midlands
mainLanguage,E12000004,61,2980,East Midlands
mainLanguage,E12000004,62,1634,East Midlands
mainLanguage,E12000004,63,3176,East Midlands
mainLanguage,E12000004,64,6703,East Midlands
mainLanguage,E12000004,65,525,East Midlands
mainLanguage,E12000004,66,322,East Midlands
mainLanguage,E12000004,67,1060,East Midlands
mainLanguage,E12000004,68,1612,East Midlands
mainLanguage,E12000004,69,490,East Midlands
mainLanguage,E12000004,70,2307,East Midlands
mainLanguage,E12000004,71,610,East Midlands
mainLanguage,E12000004,72,118,East Midlands
mainLanguage,E12000004,73,6,East Midlands
mainLanguage,E12000004,74,18,East Midlands
mainLanguage,E12000004,75,48,East Midlands
mainLanguage,E12000004,76,311,East Midlands
mainLanguage,E12000004,77,1027,East Midlands
mainLanguage,E12000004,78,3113,East Midlands
mainLanguage,E12000004,79,27,East Midlands
mainLanguage,E12000004,80,1265,East Midlands
mainLanguage,E12000004,81,353,East Midlands
mainLanguage,E12000004,82,578,East Midlands
mainLanguage,E12000004,83,994,East Midlands
mainLanguage,E12000004,84,48,East Midlands
mainLanguage,E12000004,85,114,East Midlands
mainLanguage,E12000004,86,1570,East Midlands
mainLanguage,E12000004,87,382,East Midlands
mainLanguage,E12000004,88,322,East Midlands
mainLanguage,E12000004,89,600,East Midlands
mainLanguage,E12000004,90,1047,East Midlands
mainLanguage,E12000004,91,1861,East Midlands
mainLanguage,E12000004,92,107,East Midlands
mainLanguage,E12000004,93,363,East Midlands
mainLanguage,E12000004,94,429,East Midlands
mainLanguage,E12000005,-8,196407,West Midlands
mainLanguage,E12000005,1,5235726,West Midlands
mainLanguage,E12000005,2,999,West Midlands
